Company,Ticker,Patent Number,Date,Title
TAKEDA PHARMACEUTICAL,TAK,20230130866,20230427,STABILIZED LIQUID AND LYOPHILIZED ADAMTS13 FORMULATIONS
SANOFI,SNY,20230338641,20231026,PACKAGING ASSEMBLY
BAYER,BAYRY,20230270947,20230831,SYRINGE TIP WITH FLUID WICKING DRIP FLANGES
BRISTOL-MYERS,BMY,20230212299,20230706,Anti-CSF1R Antibody and Anti-PD-1 Antibody Combination Therapy for Cancer
TAKEDA PHARMACEUTICAL,TAK,20230181527,20230615,APICAL SODIUM-DEPENDENT TRANSPORTER INHIBITOR COMPOSITIONS
BAYER,BAYRY,20230180755,20230615,HERBICIDAL COMPOSITIONS FOR ANIMAL GRAZELANDS AND METHODS FOR APPLYING THE SAME
NOVARTIS,NVS,20190336504,20191107,TREATMENT AND PREVENTION OF CYTOKINE RELEASE SYNDROME USING A CHIMERIC ANTIGEN RECEPTOR IN COMBINATION WITH A KINASE INHIBITOR
BAYER,BAYRY,20240032532,20240201,"AGROCHEMICAL COMPOSITION WITH IMPROVED DRIFT, UPTAKE AND RAINFASTNESS PROPERTIES"
BAYER,BAYRY,20240300410,20240912,"Illuminable Vehicle Component, and Motor Vehicle Having an Illuminable Vehicle Component"
GILEAD SCIENCES,GILD,20240043466,20240208,SOLID FORMS OF A NUCLEOSIDE ANALOGUE AND USES THEREOF
BAYER,BAYRY,20240141232,20240502,"LOW DRIFT, RAINFASTNESS, HIGH UPTAKE AND ULV TANK MIX ADJUVANT FORMULATION"
BAYER,BAYRY,20240000074,20240104,"LOW DRIFT, RAINFASTNESS, HIGH SPREADING, HIGH UPTAKE AND ULV TANK MIX ADJUVANT FORMULATION"
GILEAD SCIENCES,GILD,20230339971,20231026,BRIDGED TRICYCLIC CARBAMOYLPYRIDONE COMPOUNDS AND USES THEREOF
SPARK THERAPEUTICS,ONCE,20230241247,20230803,COMPOSITIONS AND METHODS FOR INCREASING OR ENHANCING TRANSDUCTION OF GENE THERAPY VECTORS AND FOR REMOVING OR REDUCING IMMUNOGLOBULINS
SPARK THERAPEUTICS,ONCE,20220387560,20221208,Adeno-Associated Virus-Mediated CRISPR-Cas9 Treatment of Ocular Disease
FATE THERAPEUTICS,FATE,20240002532,20240104,CHIMERIC ANTIGEN RECEPTOR FOR TUMOR TARGETING
BAYER,BAYRY,20230382157,20231130,"Arrangement with a Wheel and a Planar Cover Element for a Vehicle, Cover Element, Wheel, and Vehicle"
BAYER,BAYRY,20240039083,20240201,Electrical Energy Store for a Motor Vehicle and Motor Vehicle
BAYER,BAYRY,20240084633,20240314,Window Regulator for a Side Window of a Motor Vehicle
BAYER,BAYRY,20240429361,20241226,"Method for Producing a Mark, Method for Producing an Energy Storage Cell, and Motor Vehicle"
BIONTECH,BNTX,20230049655,20230216,IN VITRO AND IN VIVO GENE DELIVERY TO IMMUNE EFFECTOR CELLS USING NANOPARTICLES FUNCTIONALIZED WITH DESIGNED ANKYRIN REPEAT PROTEINS (DARPINS)
EXELIXIS,EXEL,20240350477,20241024,"Method of Treating Renal Cell Carcinoma Using N-(4-(6,7-dimethoxyquinolin-4-yloxy)phenyl)-NÃ¢â‚¬â„¢-(4-fluorophenyl)cyclopropane-1,1-dicarboxamide, (2S)-hydroxybutanedioate"
SANOFI,SNY,20240091453,20240321,Electronic System for a Drug Delivery Device and Drug Delivery Device
BRISTOL-MYERS,BMY,20240002513,20240104,DOSING AND ADMINISTRATION OF NON-FUCOSYLATED ANTI-CTLA-4 ANTIBODY AS MONOTHERAPY
SANOFI,SNY,20230398294,20231214,Electronic system for a drug delivery device and drug delivery device
JOHNSON &,JNJ,20220313443,20221006,3D PRINTED MONOBLOCK ORTHOPAEDIC SURGICAL IMPLANT WITH CUSTOMIZED PATIENT-SPECIFIC AUGMENT
SANOFI,SNY,20240033443,20240201,Drug Delivery Device
SANOFI,SNY,20240017018,20240118,Drug Delivery Device
BAYER,BAYRY,20240092431,20240321,"Wheel Cover Apparatus, Vehicle Having a Wheel Cover Apparatus and Method for Operating Such a Vehicle"
BAYER,BAYRY,20240077043,20240307,Leak Diagnosis for an Intake System
BAYER,BAYRY,20240084974,20240314,Pressure Vessel Assembly and Motor Vehicle
BAYER,BAYRY,20240083316,20240314,Vehicle Seat With a Headrest
SANOFI,SNY,20230405241,20231221,A Touch Sensor of a Drug Delivery Device or of a Drug Delivery Add-On Device
SANOFI,SNY,20230256174,20230817,DATA COLLECTION DEVICE
ELI LILLY,LLY,20250001088,20250102,THERAPEUTIC AGENT DELIVERY DEVICE WITH SINGLE MOTOR DRIVE
GILEAD SCIENCES,GILD,20240066117,20240229,HBV VACCINES AND METHODS TREATING HBV
FATE THERAPEUTICS,FATE,20230357716,20231109,CELLS HAVING SOLID TUMOR TARGETING BACKBONE AND USE THEREOF
REGENERON,REGN,20200231965,20200723,Treatment Of Ophthalmic Conditions With Angiopoietin-Like 7 (ANGPTL7) Inhibitors
BAYER,BAYRY,20240092430,20240321,Rear Structure for a Motor Vehicle and Motor Vehicle Comprising Such a Rear Structure
BAYER,BAYRY,20240092170,20240321,"Visible Component for a Motor Vehicle, and Motor Vehicle Having Visible Component"
NOVARTIS,NVS,20240150485,20240509,REGIMENS AND METHODS OF TREATING MULTIPLE SCLEROSIS USING OFATUMUMAB
BRISTOL-MYERS,BMY,20240066123,20240229,COMPOSITIONS COMPRISING AN ANTI-LAG-3 ANTIBODY OR AN ANTI-LAG-3 ANTIBODY AND AN ANTI-PD-1 OR ANTI-PD-L1 ANTIBODY
SANOFI,SNY,20210260292,20210826,Drug Delivery Device and Method to Modify a Drug Delivery Device
GILEAD SCIENCES,GILD,20230339972,20231026,BRIDGED TRICYCLIC CARBAMOYLPYRIDONE COMPOUNDS AND USES THEREOF
REGENERON,REGN,20230414716,20231228,SUSTAINED RELEASE FORMULATIONS USING NON-AQUEOUS EMULSIONS
BRISTOL-MYERS,BMY,20230365680,20231116,"COMBINATION THERAPY WITH ANTI-PVRIG ANTIBODIES FORMULATIONS, ANTI-TIGIT ANTIBODIES, AND ANTI-PD-1 ANTIBODIES"
BIONTECH,BNTX,20210189000,20210624,HUMAN MONOCLONAL ANTIBODIES TO GANGLIOSIDE GD2
REGENERON,REGN,20230417757,20231228,SYSTEMS AND METHODS FOR IDENTIFYING HLA-ASSOCIATED TUMOR PEPTIDES
BAYER,BAYRY,20220159965,20220526,COMPOSITIONS COMPRISING RECOMBINANT BACILLUS CELLS AND A FUNGICIDE
FATE THERAPEUTICS,FATE,20230390337,20231207,ENGINEERED IPSC AND PERSISTENT IMMUNE EFFECTOR CELLS
BAYER,BAYRY,20240086303,20240314,Formal Verification of a Program of a Control Device
SPARK THERAPEUTICS,ONCE,20240301380,20240912,Compositions and Methods for Treating Fabry Disease
BIONTECH,BNTX,20230099898,20230330,COMPOSITE RNA PARTICLES
SHIONOGI,SGIOY,20180036245,20180208,SOLID DISPERSIONS
MERCK SHARP,MRK,20240123047,20240418,LIPID NANOPARTICLE ADJUVANT COMPOSITION FOR PNEUMOCOCCAL CONJUGATE VACCINES
MERCK SHARP,MRK,20240108710,20240404,NANOEMULSION ADJUVANT COMPOSITION FOR PNEUMOCOCCAL CONJUGATE VACCINES
BAYER,BAYRY,20240088485,20240314,"Storage Cell for an Electrical Energy Store Having Cell-Internal Heating, and Battery for a Motor Vehicle"
H. LUNDBECK,HLUYY,20240025979,20240125,COMPOSITIONS AND METHODS FOR TREATING SYNUCLEINOPATHIES
BAYER,BAYRY,20230402583,20231214,"Cathode Active Material, and Lithium Ion Battery Comprising Said Cathode Active Material"
BAYER,BAYRY,20230173918,20230608,"APPARATUS FOR A MOTOR VEHICLE, AND MOTOR VEHICLE"
BIONTECH,BNTX,20230405046,20231221,ANTIGEN-SPECIFIC T CELL RECEPTORS AND T CELL EPITOPES
BAYER,BAYRY,20090306162,20091210,FUNGICIDAL CONTROL OF MOULDS
BAYER,BAYRY,20110144173,20110616,FUNGICAL CONTROL OF MOULDS
BIONTECH,BNTX,20240009238,20240111,AGENTS AND METHODS FOR TARGETED DELIVERY TO CELLS
PFIZER,PFE,20240051924,20240215,"SOLID STATE FORMS OF (S)-2-(((S)-6,8-DIFLUORO-1,2,3,4-TETRAHYDRONAPHTHALEN-2-YL)AMINO)-N-(1-(2-METHYL-1-(NEOPENTYLAMINO)PROPAN-2-YL)-1H-IMIDAZOL-4-YL)PENTANAMIDE AND USES THEREOF"
FATE THERAPEUTICS,FATE,20230381235,20231130,MULTIPLEXED ENGINEERED IPSCS AND IMMUNE EFFECTOR CELLS TARGETING SOLID TUMORS
PFIZER,PFE,20230382872,20231130,"SOLID STATE FORMS OF (S)-2-(((S)-6,8-DIFLUORO-1,2,3,4-TETRAHYDRONAPHTHALEN-2-YL)AMINO)-N-(1-(2-METHYL-1-(NEOPENTYLAMINO)PROPAN-2-YL)-1H-IMIDAZOL-4-YL)PENTANAMIDE AND USES THEREOF"
REGENERON,REGN,20210100227,20210408,CRNN LOSS OF FUNCTION RODENT MODEL
FATE THERAPEUTICS,FATE,20230405121,20231221,ENGINEERED IPSC AND IMMUNE EFFECTOR CELLS FOR HETEROGENOUS TUMOR CONTROL
SAGE THERAPEUTICS,SAGE,20200281943,20200910,NEUROACTIVE STEROIDS AND THEIR METHODS OF USE
ABBVIE,ABBV,20230312594,20231005,"PROCESSES FOR THE PREPARATION OF (3S,4R)-3-ETHYL-4-(3H-IMIDAZO[1,2-a]PYRROLO[2,3-e]-PYRAZIN-8-YL)-N-(2,2,2-TRIFLUOROETHYL)PYRROLIDINE-1-CARBOXAMIDE AND SOLID STATE FORMS THEREOF"
MERCK SHARP,MRK,20240131028,20240425,CHEMOVACCINATION AGAINST PLASMODIUM INFECTION WITH SELECTIVE PLASMEPSIN X INHIBITORS
BIONTECH,BNTX,20220001025,20220106,RNA Particles Comprising Polysarcosine
BIONTECH,BNTX,20230241223,20230803,RNA PARTICLES COMPRISING POLYSARCOSINE
ASTRAZENECA,AZN,20240029838,20240125,METHODS FOR TREATING AND PREVENTING SYMPTOMS OF ASTHMA WITH A CORTICOSTEROID PHARMACEUTICAL COMPOSITION
ALLOGENE THERAPEUTICS,ALLO,20240042030,20240208,ENGINEERED CELLS WITH REDUCED GENE EXPRESSION TO MITIGATE IMMUNE CELL RECOGNITION
INCYTE,INCY,20230277541,20230907,TOPICAL FORMULATION FOR A JAK INHIBITOR
REGENERON,REGN,20230340101,20231026,METHODS FOR TREATING OR PREVENTING ALLERGIC ASTHMA BY ADMINISTERING AN IL-33 ANTAGONIST AND/OR AN IL-4R ANTAGONIST
MERCK SHARP,MRK,20230365646,20231116,AZIDE INSULIN ANALOGUES
NOVARTIS,NVS,20230331711,20231019,CRYSTALLINE PHARMACEUTICAL AND METHODS OF PREPARATION AND USE THEREOF
SANOFI,SNY,20230302227,20230928,Injection Device and Dose Limiting Mechanism
BAYER,BAYRY,20240149790,20240509,Indicating the Travel Direction of a Motor Vehicle
UCB,UCBJF,20230176071,20230608,ARRAYS AND METHODS FOR IDENTIFYING BINDING SITES ON A PROTEIN
VERTEX PHARMACEUTICALS,VRTX,20230390400,20231207,MACROENCAPSULATION DEVICES
SANOFI,SNY,20240003794,20240104,Method and Device for Determining or Testing the Mechanical Integrity of Medicament Containers
BAYER,BAYRY,20240313278,20240919,"Method for Operating an Electrical Stored Energy Source, and Electrical Stored Energy Source"
SANGAMO THERAPEUTICS,SGMO,20210189405,20210624,METHODS AND COMPOSITIONS FOR REGULATION OF TRANSGENE EXPRESSION
ELI LILLY,LLY,20230372198,20231123,SECURED MEDICATION TRANSFER SYSTEM
SANGAMO THERAPEUTICS,SGMO,20170355999,20171214,METHODS AND COMPOSITIONS FOR REGULATION OF TRANSGENE EXPRESSION
NOVARTIS,NVS,20230255751,20230817,HEAT TUNABLE INTRAOCULAR LENS
SANGAMO THERAPEUTICS,SGMO,20190218560,20190718,METHODS AND COMPOSITIONS FOR REGULATION OF TRANSGENE EXPRESSION
NOVARTIS,NVS,20230277301,20230907,MULTIFOCAL LENS HAVING REDUCED CHROMATIC ABERRATIONS
BIOGEN,BIIB,20190185543,20190620,OPTIMIZED FACTOR VIII GENES
BIOGEN,BIIB,20240124555,20240418,OPTIMIZED FACTOR VIII GENES
BAYER,BAYRY,20240039103,20240201,Traction Battery Housing for a Motor Vehicle
SANOFI,SNY,20240006055,20240104,Classifying Images of Dose-Response Graphs
NOVO NORDISK,NVO,20230372687,20231123,CAPSULE DEVICE
NOVO NORDISK,NVO,20230338718,20231026,A SWALLOWABLE CAPSULE DEVICE
TAKEDA PHARMACEUTICAL,TAK,20220333135,20221020,GENE THERAPY OF HEMOPHILIA A USING VIRAL VECTORS ENCODING RECOMBINANT FVIII VARIANTS WITH INCREASED EXPRESSION
NOVO NORDISK,NVO,20230391859,20231207,ANTI-TRANSTHYRETIN ANTIBODIES AND METHODS OF USE THEREOF
NOVARTIS,NVS,20230248437,20230810,SYSTEMS AND METHODS FOR INTRAOCULAR LENS SELECTION
SANOFI,SNY,20230390496,20231207,CONTAINER FOR AN INJECTABLE MEDICAMENT
REGENERON,REGN,20230358470,20231109,TARGET RESIDUAL MOISTURE CONTENT FOR LYOPHILIZED DRUG PRODUCT
BAYER,BAYRY,20240075938,20240307,Device and Method for Exact Seat Occupancy Identification
REGENERON,REGN,20230041349,20230209,ANTI-VEGF PROTEIN COMPOSITIONS AND METHODS FOR PRODUCING THE SAME
SANOFI,SNY,20240066225,20240229,Arrangement for a Drug Delivery Device and Drug Delivery Device
NOVARTIS,NVS,20190060491,20190228,"LABELED INHIBITORS OF PROSTATE SPECIFIC MEMBRANE ANTIGEN (PSMA), THEIR USE AS IMAGING AGENTS AND PHARMACEUTICAL AGENTS FOR THE TREATMENT OF PROSTATE CANCER"
JAZZ PHARMACEUTICALS,JAZZ,20220227805,20220721,METHODS OF PURIFYING CHARGE-SHIELDED FUSION PROTEINS
JOHNSON &,JNJ,20220343480,20221027,MICROFLUIDIC DEVICE AND METHOD FOR QUANTIFYING CONTACT LENS DEPOSITION
CUREVAC,CVAC,20240156946,20240516,RNA VACCINE AGAINST SARS-COV-2 VARIANTS
SANOFI,SNY,20230402184,20231214,Monitoring Device
BAYER,BAYRY,20230063447,20230302,HETEROARYL-TRIAZOLE AND HETEROARYL-TETRAZOLE COMPOUNDS AS PESTICIDES
SHIONOGI,SGIOY,20240180954,20240606,CATIONIC LIPID
NOVARTIS,NVS,20210177896,20210617,THERAPEUTIC REGIMENS FOR CHIMERIC ANTIGEN RECEPTOR (CAR)- EXPRESSING CELLS
BAYER,BAYRY,20230076047,20230309,NANO-DRY MELTING
TAKEDA PHARMACEUTICAL,TAK,20230393105,20231207,SUPPORT FIXTURE FOR CHROMATOGRAPHY COLUMNS
NOVARTIS,NVS,20230301831,20230928,MULTI-DOSE OCULAR FLUID DELIVERY SYSTEM
AGIOS PHARMACEUTICALS,AGIO,20240148697,20240509,METHODS OF USE FOR TRISUBSTITUTED BENZOTRIAZOLE DERIVATIVES
GILEAD SCIENCES,GILD,20230043136,20230209,Quinazoline Compounds
DAIICHI SANKYO,DSNKY,20220144784,20220512,NOVEL AZOLE DERIVATIVES AS APELIN RECEPTOR AGONIST
NOVARTIS,NVS,20200339704,20201029,COMPOSITIONS AND METHODS FOR SELECTIVE PROTEIN DEGRADATION
JOHNSON &,JNJ,20230364090,20231116,FORMULATIONS/COMPOSITIONS COMPRISING A BTK INHIBITOR
TAKEDA PHARMACEUTICAL,TAK,20230365954,20231116,AFFINITY PURIFICATION OF GLYCOSIDE-CLEAVING ENZYMES
BAYER,BAYRY,20240302894,20240912,Method and Device for Determining a Pose in Smart Glasses
SANOFI,SNY,20240000931,20240104,METHODS FOR TREATING DIGITALLY-IDENTIFIED IL-4/IL-13 RELATED DISORDERS BY ADMINISTERING AN ANTI-IL4R-ALPHA ANTIBODY
SANOFI,SNY,20230191039,20230622,Acoustic Detection of a Usage of an Injection Device
AMGEN,AMGN,20240082110,20240314,COAXIAL NEEDLE ADAPTER AND GUIDE BRACKET FOR ROBOTIC LIQUID HANDLING PLATFORM
RELAY THERAPEUTICS,RLAY,20240287058,20240829,SUBSTITUTED HETEROCYCLES AS PI3K-ALPHA INHIBITORS
ABBVIE,ABBV,20230219968,20230713,"PROCESSES FOR THE PREPARATION OF (3S,4R)-3-ETHYL-4-(3H-IMIDAZO[1,2-a]PYRROLO[2,3-e]-PYRAZIN-8-YL)-N-(2,2,2-TRIFLUOROETHYL)PYRROLIDINE-1-CARBOXAMIDE AND SOLID STATE FORMS THEREOF"
EXELIXIS,EXEL,20230382867,20231130,"CRYSTALLINE SOLID FORMS OF N-{4-[(6,7-DIMETHOXYQUINOLIN-4-YL)OXY]PHENYL}-N'-(4-FLUOROPHENYL) CYCLOPROPANE-1,1-DICARBOXAMIDE, PROCESSES FOR MAKING, AND METHODS OF USE"
MERCK SHARP,MRK,20240083903,20240314,ARYL ETHER COMPOUNDS AS TEAD MODULATORS
ELI LILLY,LLY,20240067628,20240229,SSTR4 AGONIST SALTS
BAYER,BAYRY,20240076681,20240307,IMMUNOSTIMULATORY OLIGONUCLEOTIDES
REGENERON,REGN,20200299679,20200924,METHODS AND SYSTEMS FOR CRISPR SELECTION
UCB,UCBJF,20240000769,20240104,AMORPHOUS SOLID DISPERSIONS
NOVARTIS,NVS,20240082218,20240314,PHARMACEUTICAL COMBINATIONS COMPRISING A KRAS G12C INHIBITOR AND USES OF A KRAS G12C INHIBITOR FOR THE TREATMENT OF CANCERS
IONIS PHARMACEUTICALS,IONS,20220042013,20220210,COMPOSITIONS AND THEIR USES DIRECTED TO HUNTINGTIN
BAUSCH HEALTH,BHC,20240299318,20240912,"AMISELIMOD FOR PREVENTING, TREATING OR AMELIORATING ULCERATIVE COLITIS"
BAYER,BAYRY,20230148601,20230518,NOVEL HETEROARYL-TRIAZOLE COMPOUNDS AS PESTICIDES
MERCK SHARP,MRK,20240140920,20240502,SYNTHESIS OF URIDINE
SANOFI,SNY,20230146808,20230511,INJECTION DEVICE STORAGE CONTAINER
MERCK SHARP,MRK,20240124607,20240418,"PROTEINS BINDING NKG2D, CD16, AND CEACAM5"
REGENERON,REGN,20220222526,20220714,Methods And Systems For Improved Deep-Learning Models
REGENERON,REGN,20240065239,20240229,MICE EXPRESSING HUMANIZED FC ALPHA RECEPTORS
MERCK SHARP,MRK,20230399341,20231214,7-PHENYL SUBSTITUTED 2-AMINOQUINAZOLINE INHIBITORS OF HPK1
BLUEBIRD BIO,BLUE,20230357736,20231109,TCRa HOMING ENDONUCLEASE VARIANTS
SANOFI,SNY,20240058530,20240222,AUTOINJECTOR WITH A PUMP
SANOFI,SNY,20240050658,20240215,AUTOINJECTOR WITH GAS
SANOFI,SNY,20240050659,20240215,HOUSING COMPONENT OF AN INJECTION DEVICE COMPRISING A MAGNIFIER
SANOFI,SNY,20240001041,20240104,Drug Delivery Device
SANOFI,SNY,20240033441,20240201,Drug Delivery Device
REGENERON,REGN,20210238599,20210805,Treatment Of Ophthalmic Conditions With Son of Sevenless 2 (SOS2) Inhibitors
BIONTECH,BNTX,20190309067,20191010,BISPECIFIC TRIVALENT ANTIBODIES BINDING TO CLAUDIN6 OR CLAUDIN18.2 AND CD3 FOR TREATMENT OF CLAUDIN EXPRESSING CANCER DISEASES
BAYER,BAYRY,20230406502,20231221,METHOD FOR LOW VOLUME SPRAY APPLICATION
REGENERON,REGN,20230287138,20230914,PROTEIN-DRUG CONJUGATES COMPRISING CAMPTOTHECIN ANALOGS AND METHODS OF USE THEREOF
TAKEDA PHARMACEUTICAL,TAK,20230322669,20231012,METHOD FOR PRODUCING PYRROLE COMPOUND
REGENERON,REGN,20230282304,20230907,OFF-TARGET PREDICTION METHOD FOR ANTIGEN-RECOGNITION MOLECULES BINDING TO MHC-PEPTIDE TARGETS
BAYER,BAYRY,20240109864,20240404,SUBSTITUTED PYRAZOLYL PIPERIDINE CARBOXYLIC ACIDS
TAKEDA PHARMACEUTICAL,TAK,20240139317,20240502,CONSTRAINED CONDITIONALLY ACTIVATED BINDING PROTEINS
TAKEDA PHARMACEUTICAL,TAK,20230414752,20231228,CONSTRAINED CONDITIONALLY ACTIVATED BINDING PROTEINS
MERCK SHARP,MRK,20240327502,20241003,"ANTIBODIES THAT BIND METAPNEUMOVIRUS, ANTIGENIC METAPNEUMOVIRUS PROTEINS, AND USES THEREOF"
TAKEDA PHARMACEUTICAL,TAK,20230381287,20231130,FORMULATIONS COMPRISING GLUCOCEREBROSIDASE AND ISOFAGOMINE
SEAGEN,SGEN,20240165251,20240523,IMMUNOSTIMULATORY COMPOUNDS AND CONJUGATES
REGENERON,REGN,20230417759,20231228,Use of Amino Acids to Enhance Signal in Mass Spectral Analyses
BIONTECH,BNTX,20200385460,20201210,DIAGNOSIS AND THERAPY OF CANCER INVOLVING CANCER STEM CELLS
GILEAD SCIENCES,GILD,20230303599,20230928,PRODRUGS OF PHOSPHONAMIDE NUCLEOTIDE ANALOGUES AND THEIR PHARMACEUTICAL USE
SANOFI,SNY,20240017009,20240118,DRUG DELIVERY DEVICE
SANOFI,SNY,20230248954,20230810,Medicament Delivery Device
SANOFI,SNY,20230277776,20230907,DRIVE MECHANISM FOR AN INJECTION DEVICE
ALNYLAM PHARMACEUTICALS,ALNY,20240343746,20241017,CYCLIC-DISULFIDE MODIFIED PHOSPHATE BASED OLIGONUCLEOTIDE PRODRUGS
REGENERON,REGN,20240247071,20240725,"Compositions and Methods for Enhancing Body Weight and Lean Muscle Mass Using Antagonists Against Leptin Receptor, GDF8 and Activin A"
ALNYLAM PHARMACEUTICALS,ALNY,20240336914,20241010,2'-MODIFIED NUCLEOSIDE BASED OLIGONUCLEOTIDE PRODRUGS
BAYER,BAYRY,20240128429,20240418,"Method for Producing a Cathode for a Lithium-Ion Battery, and Lithium-Ion Battery"
ALNYLAM PHARMACEUTICALS,ALNY,20240116973,20240411,MODIFIED OLIGONUCLEOTIDES
ELI LILLY,LLY,20200197605,20200625,CLOSED LOOP CONTROL OF PHYSIOLOGICAL GLUCOSE
BAYER,BAYRY,20240010070,20240111,"Method, Device, Computer Program and Computer-Readable Storage Medium for Controlling the Provision of Suggestion Information to a Vehicle Occupant of a Vehicle"
BAYER,BAYRY,20230417573,20231228,Combining Static and Dynamic Map Data
BAYER,BAYRY,20230398961,20231214,"Computer Program, Personal Communications Device, Method for a Personal Communications Device, Apparatus for a Vehicle, and Method for a Vehicle"
BAYER,BAYRY,20240005636,20240104,"Method For a Vehicle For Estimating a User Context, Data Processing Device, Vehicle, Computer Program and Computer-Readable Storage Medium"
BAYER,BAYRY,20240068834,20240229,Determination of Trip Information
BAYER,BAYRY,20240042856,20240208,"Method for Operating a Digital Assistant of a Vehicle, Computer-Readable Medium, System, and Vehicle"
DENALI THERAPEUTICS,DNLI,20240150376,20240509,"Compounds, Compositions and Methods"
BAYER,BAYRY,20240317135,20240926,Automated Motor Vehicle and Method for Controlling the Automated Motor Vehicle
BAYER,BAYRY,20240110642,20240404,"Retainer for Holding a Line, Fastening Arrangement for Fastening a Line to a Motor Vehicle and Method for Fastening a Line to a Motor Vehicle"
BAYER,BAYRY,20240120554,20240411,Energy Storage Cell and Method for the Production Thereof
NOVARTIS,NVS,20230321132,20231012,DELIVERY OF RNA TO TRIGGER MULTIPLE IMMUNE PATHWAYS
NOVO NORDISK,NVO,20200246545,20200806,SYSTEMS AND METHODS FOR LIQUID INJECTION
BAYER,BAYRY,20240120589,20240411,Storage Housing for an Electrical Energy Store of a Motor Vehicle
BAYER,BAYRY,20230389550,20231207,HETEROARYL-TRIAZOLE AND HETEROARYL-TETRAZOLE COMPOUNDS AS PESTICIDES
BAYER,BAYRY,20220048907,20220217,"METHYL {4,6-DIAMINO-2-[5-FLUORO-1-(2-FLUOROBENZYL)-1H-PYRAZOLO[3,4-B]PYRIDIN-3-YL]PYRIMIDIN-5-YL}CARBAMATE ACTIVE COMPOUND PRODUCT HAVING IMPROVED PROPERTIES, PRODUCTION AND FORMULATION THEREOF"
GILEAD SCIENCES,GILD,20240174702,20240530,SOLID FORMS OF A COMPOUND FOR MODULATING COT
FATE THERAPEUTICS,FATE,20240033355,20240201,ENGINEERED iPSC AND ARMED IMMUNE EFFECTOR CELLS
AMGEN,AMGN,20240115462,20240411,HIGH-THROUGHPUT AUTOMATED RECONSTITUTION OF LYOPHILIZED DRUG PRODUCT
NOVARTIS,NVS,20230381106,20231130,LIPID FORMULATIONS WITH RNA ENCODING IMMUNOGENS
BAYER,BAYRY,20220160667,20220526,Topical Gel Compositions of Naproxen
REGENERON,REGN,20230393141,20231207,DUAL-COLUMN LC-MS SYSTEM AND METHODS OF USE THEREOF
NOVARTIS,NVS,20230381107,20231130,METHOD OF MAKING LIPID FORMULATIONS WITH RNA ENCODING IMMUNOGENS
NOVARTIS,NVS,20230381105,20231130,IMMUNISATION WITH LIPID FORMULATIONS WITH RNA ENCODING IMMUNOGENS
BAYER,BAYRY,20240116473,20240411,Seat Belt Buckle Unit
AMGEN,AMGN,20230201313,20230629,METHODS OF TREATING LEFT VENTRICLE HYPERTROPHY
SANGAMO THERAPEUTICS,SGMO,20210102222,20210408,METHOD OF INACTIVATING A GLUCOCORTICOID RECEPTOR GENE IN AN ISOLATED CELL
TEVA PHARMACEUTICAL,TEVA,20190046516,20190214,TREATMENT OF NEURODEGENERATIVE EYE DISEASE USING PRIDOPIDINE
SANOFI,SNY,20240058523,20240222,AUTOINJECTOR WITH A SQUEEZE ARRANGEMENT
